Strategy,TrackScope,K,Races,Wagered,Returned,Profit,ROI%,Hits,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears,Gap,FavMin,FS,Cond,Card
K1W8_BEL_FS10-13_Gap0.20_Fav0.35_fast_late,BEL,8,99,20790,23925.45,3135.45,15.08,42,42.42,569.65,0.1,92.79,83,16,6/13,0.2,0.35,10-13,fast,late
K1W7_BEL_FS10-12_Gap0.15_Fav0.35_all_midlate,BEL,7,261,31320,40620.25,9300.25,29.69,74,28.35,548.92,16.96,92.48,217,44,8/13,0.15,0.35,10-12,all,midlate
K1W7_BEL_FS10-12_Gap0.12_Fav0.35_all_midlate,BEL,7,268,32160,40695.75,8535.75,26.54,75,27.99,542.61,13.59,92.48,224,44,8/13,0.12,0.35,10-12,all,midlate
K1W8_BEL_FS10-12_Gap0.20_Fav0.00_fast_late,BEL,8,105,22050,23343.45,1293.45,5.87,43,40.95,542.87,-10.8,92.11,88,17,5/13,0.2,0.0,10-12,fast,late
K1W8_GP_FS10-12_Gap0.15_Fav0.00_wet_midlate,GP,8,130,27300,23484.2,-3815.8,-13.98,29,22.31,809.8,-47.07,91.7,99,31,5/13,0.15,0.0,10-12,wet,midlate
K1W8_GP_FS10-13_Gap0.15_Fav0.00_wet_midlate,GP,8,136,28560,23873.1,-4686.9,-16.41,30,22.06,795.77,-48.33,91.7,105,31,4/13,0.15,0.0,10-13,wet,midlate
K1W9_BEL_FS9-11_Gap0.15_Fav0.35_wet_midlate,BEL,9,90,30240,32998.35,2758.35,9.12,38,42.22,868.38,-7.2,90.75,75,15,6/13,0.15,0.35,9-11,wet,midlate
K1W9_BEL_FS9-11_Gap0.10_Fav0.35_wet_midlate,BEL,9,92,30912,33364.85,2452.85,7.93,39,42.39,855.51,-8.2,90.75,77,15,6/13,0.1,0.35,9-11,wet,midlate
K1W9_BEL_FS9-11_Gap0.12_Fav0.35_wet_midlate,BEL,9,92,30912,33364.85,2452.85,7.93,39,42.39,855.51,-8.2,90.75,77,15,6/13,0.12,0.35,9-11,wet,midlate
K1W7_BEL_FS10-12_Gap0.18_Fav0.00_all_midlate,BEL,7,279,33480,45063.75,11583.75,34.6,79,28.32,570.43,22.1,90.48,228,51,9/13,0.18,0.0,10-12,all,midlate
K1W7_BEL_FS10-13_Gap0.18_Fav0.00_fast_midlate,BEL,7,219,26280,38536.55,12256.55,46.64,65,29.68,592.87,37.3,89.72,180,39,9/13,0.18,0.0,10-13,fast,midlate
K1W7_BEL_FS10-11_Gap0.15_Fav0.00_fast_all,BEL,7,241,28920,24774.55,-4145.45,-14.33,66,27.39,375.37,-32.95,88.33,204,37,6/13,0.15,0.0,10-11,fast,all
K1W7_BEL_FS10-13_Gap0.15_Fav0.35_all_midlate,BEL,7,265,31800,42603.75,10803.75,33.97,75,28.3,568.05,22.88,88.2,220,45,8/13,0.15,0.35,10-13,all,midlate
K1W7_BEL_FS10-13_Gap0.12_Fav0.35_all_midlate,BEL,7,272,32640,42679.25,10039.25,30.76,76,27.94,561.57,19.37,88.2,227,45,8/13,0.12,0.35,10-13,all,midlate
K1W7_BEL_FS10-12_Gap0.10_Fav0.35_all_midlate,BEL,7,271,32520,41163.75,8643.75,26.58,77,28.41,534.59,14.31,88.2,226,45,8/13,0.1,0.35,10-12,all,midlate
K1W8_BEL_FS10-11_Gap0.15_Fav0.35_all_late,BEL,8,111,23310,21413.2,-1896.8,-8.14,42,37.84,509.84,-28.03,88.19,92,19,5/13,0.15,0.35,10-11,all,late
K1W8_BEL_FS10-11_Gap0.12_Fav0.35_all_late,BEL,8,114,23940,21413.2,-2526.8,-10.55,42,36.84,509.84,-30.3,88.19,95,19,5/13,0.12,0.35,10-11,all,late
K1W7_BEL_FS9-11_Gap0.15_Fav0.35_fast_late,BEL,7,179,21480,23776.75,2296.75,10.69,60,33.52,396.28,-6.78,87.97,146,33,6/13,0.15,0.35,9-11,fast,late
K1W7_BEL_FS10-12_Gap0.20_Fav0.00_all_midlate,BEL,7,224,26880,36478.85,9598.85,35.71,67,29.91,544.46,25.1,87.64,186,38,9/13,0.2,0.0,10-12,all,midlate
K1W7_BEL_FS10-12_Gap0.20_Fav0.40_all_all,BEL,7,186,22320,29589.95,7269.95,32.57,62,33.33,477.26,22.11,86.98,156,30,7/13,0.2,0.4,10-12,all,all
K1W7_BEL_FS10-13_Gap0.18_Fav0.00_all_midlate,BEL,7,284,34080,47047.25,12967.25,38.05,80,28.17,588.09,27.12,86.82,232,52,9/13,0.18,0.0,10-13,all,midlate
K1W8_BEL_FS10-12_Gap0.18_Fav0.35_all_late,BEL,8,144,30240,30233.65,-6.35,-0.02,55,38.19,549.7,-19.15,86.77,118,26,6/13,0.18,0.35,10-12,all,late
K1W7_BEL_FS9-11_Gap0.20_Fav0.35_all_late,BEL,7,178,21360,24813.55,3453.55,16.17,64,35.96,387.71,0.11,86.74,145,33,6/13,0.2,0.35,9-11,all,late
K1W7_BEL_FS9-11_Gap0.20_Fav0.00_all_late,BEL,7,186,22320,24813.55,2493.55,11.17,64,34.41,387.71,-5.13,86.74,153,33,5/13,0.2,0.0,9-11,all,late
