Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W8_BEL_FS10-12_Gap0.10_Fav0.30_fast_midlate,8,BEL,10-12,0.1,0.3,fast,midlate,351,104,-11.72,29.63,625.71,-11.59,-12.34,4/13,0.308,-11.93,-6.9
K1W8_MTH_FS11-12_Gap0.25_Fav0.40_all_all,8,MTH,11-12,0.25,0.4,all,all,86,35,-11.81,40.7,455.06,-15.21,1.03,4/13,0.308,-29.56,-5.7
K1W8_MTH_FS11-13_Gap0.25_Fav0.40_fast_all,8,MTH,11-13,0.25,0.4,fast,all,84,33,-12.49,39.29,467.8,-13.92,-7.21,4/13,0.308,-29.56,-2.9
K1W8_MTH_FS11-14_Gap0.25_Fav0.40_fast_all,8,MTH,11-14,0.25,0.4,fast,all,84,33,-12.49,39.29,467.8,-13.92,-7.21,4/13,0.308,-29.56,-2.9
K1W8_SAR_FS11-14_Gap0.15_Fav0.30_all_midlate,8,SAR,11-14,0.15,0.3,all,midlate,73,19,-12.74,26.03,704.02,-31.27,9.71,4/13,0.308,-56.15,-27.7
K1W8_BEL_FS11-12_Gap0.15_Fav0.30_all_late,8,BEL,11-12,0.15,0.3,all,late,144,39,-12.86,27.08,675.67,-29.86,60.81,4/13,0.308,-32.18,-0.1
K1W8_BEL_FS11-13_Gap0.15_Fav0.00_all_late,8,BEL,11-13,0.15,0.0,all,late,155,40,-12.95,25.81,708.37,-27.37,49.72,4/13,0.308,-37.92,-5.7
K1W8_MTH_FS11-13_Gap0.10_Fav0.40_fast_midlate,8,MTH,11-13,0.1,0.4,fast,midlate,60,24,-13.02,40.0,456.62,-20.49,7.52,4/13,0.308,-20.86,-16.9
K1W8_MTH_FS11-14_Gap0.10_Fav0.40_fast_midlate,8,MTH,11-14,0.1,0.4,fast,midlate,60,24,-13.02,40.0,456.62,-20.49,7.52,4/13,0.308,-20.86,-16.9
K1W8_BEL_FS10-12_Gap0.05_Fav0.30_fast_midlate,8,BEL,10-12,0.05,0.3,fast,midlate,379,111,-13.38,29.29,621.1,-12.14,-19.35,4/13,0.308,-15.77,-10.6
K1W8_MTH_FS11-13_Gap0.25_Fav0.40_all_all,8,MTH,11-13,0.25,0.4,all,all,88,35,-13.81,39.77,455.06,-15.21,-9.07,4/13,0.308,-29.56,-9.6
K1W8_MTH_FS11-14_Gap0.25_Fav0.40_all_all,8,MTH,11-14,0.25,0.4,all,all,88,35,-13.81,39.77,455.06,-15.21,-9.07,4/13,0.308,-29.56,-9.6
K1W8_BEL_FS11-14_Gap0.15_Fav0.00_all_late,8,BEL,11-14,0.15,0.0,all,late,157,40,-14.06,25.48,708.37,-28.51,49.72,4/13,0.308,-37.92,-6.1
K1W8_MTH_FS11-13_Gap0.15_Fav0.40_fast_midlate,8,MTH,11-13,0.15,0.4,fast,midlate,59,23,-14.4,38.98,461.13,-22.55,7.52,4/13,0.308,-20.86,-17.3
K1W8_MTH_FS11-14_Gap0.15_Fav0.40_fast_midlate,8,MTH,11-14,0.15,0.4,fast,midlate,59,23,-14.4,38.98,461.13,-22.55,7.52,4/13,0.308,-20.86,-17.3
K1W8_MTH_FS11-13_Gap0.05_Fav0.40_fast_midlate,8,MTH,11-13,0.05,0.4,fast,midlate,61,24,-14.45,39.34,456.62,-20.49,1.2,4/13,0.308,-20.86,-21.4
K1W8_MTH_FS11-14_Gap0.05_Fav0.40_fast_midlate,8,MTH,11-14,0.05,0.4,fast,midlate,61,24,-14.45,39.34,456.62,-20.49,1.2,4/13,0.308,-20.86,-21.4
K1W8_BEL_FS10-13_Gap0.10_Fav0.00_all_all,8,BEL,10-13,0.1,0.0,all,all,764,192,-14.5,25.13,714.44,-16.64,-4.34,4/13,0.308,-19.86,-14.0
K1W7_SA_FS11-12_Gap0.25_Fav0.40_all_all,7,SA,11-12,0.25,0.4,all,all,102,25,-14.79,24.51,417.21,-1.4,-56.01,4/13,0.308,-62.07,-26.4
K1W8_BEL_FS11-13_Gap0.10_Fav0.30_fast_late,8,BEL,11-13,0.1,0.3,fast,late,131,36,-14.8,27.48,651.07,-24.12,26.76,4/13,0.308,-11.01,5.5
K1W8_BEL_FS10-14_Gap0.10_Fav0.00_all_all,8,BEL,10-14,0.1,0.0,all,all,770,192,-15.17,24.94,714.44,-17.43,-4.34,4/13,0.308,-19.86,-14.5
K1W8_BEL_FS11-14_Gap0.10_Fav0.30_fast_late,8,BEL,11-14,0.1,0.3,fast,late,132,36,-15.45,27.27,651.07,-24.82,26.76,4/13,0.308,-11.01,5.2
K1W7_SA_FS11-13_Gap0.25_Fav0.40_all_all,7,SA,11-13,0.25,0.4,all,all,107,27,-15.56,25.23,401.54,-3.23,-56.01,4/13,0.308,-55.14,-25.6
K1W7_SA_FS11-14_Gap0.25_Fav0.40_all_all,7,SA,11-14,0.25,0.4,all,all,107,27,-15.56,25.23,401.54,-3.23,-56.01,4/13,0.308,-55.14,-25.6
K1W8_BEL_FS10-12_Gap0.10_Fav0.00_all_all,8,BEL,10-12,0.1,0.0,all,all,753,190,-16.18,25.23,697.57,-18.99,-2.88,4/13,0.308,-19.13,-14.9
K1W8_BEL_FS11-13_Gap0.05_Fav0.30_fast_late,8,BEL,11-13,0.05,0.3,fast,late,139,39,-16.22,28.06,627.06,-23.82,15.29,4/13,0.308,-11.01,0.6
K1W8_BEL_FS10-13_Gap0.15_Fav0.30_all_late,8,BEL,10-13,0.15,0.3,all,late,235,68,-16.35,28.94,607.06,-27.17,34.85,4/13,0.308,-35.56,-6.0
K1W8_OP_FS11-12_Gap0.25_Fav0.40_all_late,8,OP,11-12,0.25,0.4,all,late,70,18,-16.44,25.71,682.41,2.05,-30.31,4/13,0.308,-48.27,-22.7
K1W8_BEL_FS10-14_Gap0.15_Fav0.30_all_late,8,BEL,10-14,0.15,0.3,all,late,236,68,-16.71,28.81,607.06,-27.55,34.85,4/13,0.308,-35.56,-6.1
K1W8_BEL_FS11-14_Gap0.05_Fav0.30_fast_late,8,BEL,11-14,0.05,0.3,fast,late,140,39,-16.82,27.86,627.06,-24.49,15.29,4/13,0.308,-11.01,0.3
K1W8_BEL_FS10-13_Gap0.15_Fav0.00_all_late,8,BEL,10-13,0.15,0.0,all,late,245,69,-17.09,28.16,618.23,-27.17,31.64,4/13,0.308,-35.56,-8.8
K1W8_BEL_FS11-12_Gap0.15_Fav0.00_all_late,8,BEL,11-12,0.15,0.0,all,late,152,39,-17.45,25.66,675.67,-33.82,55.06,4/13,0.308,-32.18,-8.2
K1W8_BEL_FS10-11_Gap0.05_Fav0.30_all_all,8,BEL,10-11,0.05,0.3,all,all,459,138,-17.6,30.07,575.51,-22.32,6.16,4/13,0.308,-19.87,-12.3
K1W8_BEL_FS10-14_Gap0.15_Fav0.00_all_late,8,BEL,10-14,0.15,0.0,all,late,247,69,-17.76,27.94,618.23,-27.88,31.64,4/13,0.308,-35.56,-9.1
K1W8_DMR_FS11-12_Gap0.25_Fav0.00_all_midlate,8,DMR,11-12,0.25,0.0,all,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_DMR_FS11-12_Gap0.25_Fav0.00_fast_midlate,8,DMR,11-12,0.25,0.0,fast,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_DMR_FS11-12_Gap0.25_Fav0.30_all_midlate,8,DMR,11-12,0.25,0.3,all,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_DMR_FS11-12_Gap0.25_Fav0.30_fast_midlate,8,DMR,11-12,0.25,0.3,fast,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_DMR_FS11-12_Gap0.25_Fav0.35_all_midlate,8,DMR,11-12,0.25,0.35,all,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_DMR_FS11-12_Gap0.25_Fav0.35_fast_midlate,8,DMR,11-12,0.25,0.35,fast,midlate,55,15,-18.31,27.27,629.04,-22.36,-10.63,4/13,0.308,-38.64,-8.2
K1W8_BEL_FS11-13_Gap0.05_Fav0.00_fast_midlate,8,BEL,11-13,0.05,0.0,fast,midlate,463,97,-18.37,20.95,818.24,-17.94,-20.1,4/13,0.308,-13.59,-15.8
K1W7_BEL_FS10-13_Gap0.05_Fav0.00_all_all,7,BEL,10-13,0.05,0.0,all,all,1237,222,-18.66,17.95,543.85,-19.81,-13.71,4/13,0.308,-7.8,-18.9
K1W7_BEL_FS10-14_Gap0.05_Fav0.00_all_all,7,BEL,10-14,0.05,0.0,all,all,1245,223,-18.99,17.91,542.73,-20.21,-13.71,4/13,0.308,-7.8,-19.2
K1W7_BEL_FS10-12_Gap0.05_Fav0.00_all_all,7,BEL,10-12,0.05,0.0,all,all,1222,221,-19.02,18.09,537.34,-20.43,-12.96,4/13,0.308,-5.66,-19.3
K1W8_OP_FS11-12_Gap0.22_Fav0.40_all_late,8,OP,11-12,0.22,0.4,all,late,76,20,-19.09,26.32,645.63,-2.97,-30.82,4/13,0.308,-48.27,-22.3
K1W8_BEL_FS11-14_Gap0.05_Fav0.00_fast_midlate,8,BEL,11-14,0.05,0.0,fast,midlate,468,97,-19.24,20.73,818.24,-19.03,-20.1,4/13,0.308,-13.59,-16.5
K1W8_BEL_FS10-11_Gap0.10_Fav0.30_all_midlate,8,BEL,10-11,0.1,0.3,all,midlate,332,100,-19.31,30.12,562.58,-29.05,33.13,4/13,0.308,-24.32,-10.4
K1W8_BEL_FS10-12_Gap0.15_Fav0.30_all_late,8,BEL,10-12,0.15,0.3,all,late,232,67,-19.34,28.88,586.52,-31.33,38.23,4/13,0.308,-22.68,-7.7
K1W8_BEL_FS10-12_Gap0.15_Fav0.00_all_late,8,BEL,10-12,0.15,0.0,all,late,242,68,-19.96,28.1,598.15,-31.15,34.85,4/13,0.308,-22.68,-10.7
K1W7_SA_FS11-12_Gap0.25_Fav0.40_fast_all,7,SA,11-12,0.25,0.4,fast,all,95,22,-20.0,23.16,414.56,-8.44,-54.18,4/13,0.308,-57.33,-30.1
K1W8_BEL_FS11-12_Gap0.10_Fav0.30_fast_late,8,BEL,11-12,0.1,0.3,fast,late,128,35,-20.18,27.34,613.0,-31.67,32.27,4/13,0.308,-9.57,0.9
K1W7_SA_FS11-13_Gap0.25_Fav0.40_fast_all,7,SA,11-13,0.25,0.4,fast,all,100,24,-20.57,24.0,397.16,-9.95,-54.18,4/13,0.308,-57.33,-28.5
K1W7_SA_FS11-14_Gap0.25_Fav0.40_fast_all,7,SA,11-14,0.25,0.4,fast,all,100,24,-20.57,24.0,397.16,-9.95,-54.18,4/13,0.308,-57.33,-28.5
K1W8_BEL_FS10-11_Gap0.10_Fav0.00_all_midlate,8,BEL,10-11,0.1,0.0,all,midlate,427,113,-20.97,26.46,627.14,-26.62,9.42,4/13,0.308,-24.98,-16.8
K1W8_BEL_FS10-11_Gap0.10_Fav0.30_fast_midlate,8,BEL,10-11,0.1,0.3,fast,midlate,251,80,-21.25,31.87,518.86,-26.0,4.56,4/13,0.308,-21.29,-14.3
K1W8_BEL_FS11-12_Gap0.05_Fav0.30_fast_late,8,BEL,11-12,0.05,0.3,fast,late,136,38,-21.32,27.94,591.36,-31.02,19.72,4/13,0.308,-11.01,-4.7
K1W8_BEL_FS10-11_Gap0.05_Fav0.30_fast_midlate,8,BEL,10-11,0.05,0.3,fast,midlate,274,86,-21.33,31.39,526.39,-24.31,-5.72,4/13,0.308,-26.91,-18.0
K1W8_SAR_FS10-11_Gap0.20_Fav0.35_all_late,8,SAR,10-11,0.2,0.35,all,late,66,20,-22.08,30.3,539.97,-38.47,3.12,4/13,0.308,-33.81,-23.6
K1W8_BEL_FS10-11_Gap0.05_Fav0.00_all_all,8,BEL,10-11,0.05,0.0,all,all,859,213,-22.33,24.8,657.76,-23.07,-18.98,4/13,0.308,-24.87,-21.4
K1W8_SAR_FS10-12_Gap0.05_Fav0.35_fast_late,8,SAR,10-12,0.05,0.35,fast,late,77,21,-23.73,27.27,587.29,-31.35,-12.42,4/13,0.308,-46.43,-13.6
K1W8_SAR_FS10-12_Gap0.10_Fav0.35_fast_late,8,SAR,10-12,0.1,0.35,fast,late,77,21,-23.73,27.27,587.29,-31.35,-12.42,4/13,0.308,-46.43,-13.6
K1W8_OP_FS11-12_Gap0.05_Fav0.40_all_late,8,OP,11-12,0.05,0.4,all,late,85,22,-23.97,25.88,616.88,-9.69,-34.98,4/13,0.308,-48.1,-19.5
K1W8_OP_FS11-12_Gap0.10_Fav0.40_all_late,8,OP,11-12,0.1,0.4,all,late,85,22,-23.97,25.88,616.88,-9.69,-34.98,4/13,0.308,-48.1,-19.5
K1W8_OP_FS11-12_Gap0.15_Fav0.40_all_late,8,OP,11-12,0.15,0.4,all,late,84,21,-23.98,25.0,638.54,-9.69,-35.24,4/13,0.308,-48.1,-21.0
K1W7_BEL_FS10-13_Gap0.05_Fav0.00_fast_all,7,BEL,10-13,0.05,0.0,fast,all,933,167,-24.06,17.9,509.11,-23.95,-24.5,4/13,0.308,-19.13,-19.5
K1W8_OP_FS11-12_Gap0.20_Fav0.40_all_late,8,OP,11-12,0.2,0.4,all,late,81,20,-24.09,24.69,645.63,-13.75,-32.36,4/13,0.308,-48.27,-24.6
K1W8_BEL_FS11-12_Gap0.10_Fav0.30_all_late,8,BEL,11-12,0.1,0.3,all,late,174,42,-24.19,24.14,659.52,-37.24,31.57,4/13,0.308,-27.19,-8.4
K1W7_BEL_FS11-13_Gap0.05_Fav0.00_fast_late,7,BEL,11-13,0.05,0.0,fast,late,330,53,-24.23,16.06,566.1,-26.27,-17.54,4/13,0.308,-45.89,-12.9
K1W7_BEL_FS10-14_Gap0.05_Fav0.00_fast_all,7,BEL,10-14,0.05,0.0,fast,all,939,167,-24.55,17.78,509.11,-24.56,-24.5,4/13,0.308,-20.61,-19.9
K1W8_SAR_FS10-11_Gap0.05_Fav0.35_fast_late,8,SAR,10-11,0.05,0.35,fast,late,66,18,-24.58,27.27,580.72,-40.8,0.38,4/13,0.308,-46.43,-20.2
K1W8_SAR_FS10-11_Gap0.10_Fav0.35_fast_late,8,SAR,10-11,0.1,0.35,fast,late,66,18,-24.58,27.27,580.72,-40.8,0.38,4/13,0.308,-46.43,-20.2
K1W8_SAR_FS10-13_Gap0.05_Fav0.35_fast_late,8,SAR,10-13,0.05,0.35,fast,late,78,21,-24.71,26.92,587.29,-32.81,-12.42,4/13,0.308,-46.43,-13.6
K1W8_SAR_FS10-13_Gap0.10_Fav0.35_fast_late,8,SAR,10-13,0.1,0.35,fast,late,78,21,-24.71,26.92,587.29,-32.81,-12.42,4/13,0.308,-46.43,-13.6
K1W8_SAR_FS10-14_Gap0.05_Fav0.35_fast_late,8,SAR,10-14,0.05,0.35,fast,late,78,21,-24.71,26.92,587.29,-32.81,-12.42,4/13,0.308,-46.43,-13.6
K1W8_SAR_FS10-14_Gap0.10_Fav0.35_fast_late,8,SAR,10-14,0.1,0.35,fast,late,78,21,-24.71,26.92,587.29,-32.81,-12.42,4/13,0.308,-46.43,-13.6
K1W7_BEL_FS10-11_Gap0.05_Fav0.00_all_late,7,BEL,10-11,0.05,0.0,all,late,483,88,-24.81,18.22,495.21,-28.47,-7.7,4/13,0.308,-13.88,-23.1
K1W7_BEL_FS10-13_Gap0.10_Fav0.00_all_late,7,BEL,10-13,0.1,0.0,all,late,420,74,-24.84,17.62,511.91,-35.39,23.68,4/13,0.308,-38.6,-15.5
K1W7_BEL_FS11-14_Gap0.05_Fav0.00_fast_late,7,BEL,11-14,0.05,0.0,fast,late,333,53,-24.92,15.92,566.1,-27.13,-17.54,4/13,0.308,-45.89,-13.3
K1W8_BEL_FS10-11_Gap0.05_Fav0.30_all_late,8,BEL,10-11,0.05,0.3,all,late,237,67,-25.21,28.27,555.57,-31.16,9.13,4/13,0.308,-25.32,-19.4
K1W8_BEL_FS10-11_Gap0.05_Fav0.00_all_late,8,BEL,10-11,0.05,0.0,all,late,483,115,-25.22,23.81,659.6,-23.75,-32.08,4/13,0.308,-29.32,-25.9
K1W8_BEL_FS11-12_Gap0.05_Fav0.30_all_late,8,BEL,11-12,0.05,0.3,all,late,185,46,-25.23,24.86,631.52,-36.34,19.25,4/13,0.308,-27.19,-11.9
K1W7_BEL_FS10-14_Gap0.10_Fav0.00_all_late,7,BEL,10-14,0.1,0.0,all,late,423,74,-25.37,17.49,511.91,-35.94,23.68,4/13,0.308,-38.6,-15.7
K1W7_BEL_FS10-11_Gap0.05_Fav0.00_all_midlate,7,BEL,10-11,0.05,0.0,all,midlate,703,133,-25.4,18.92,473.16,-26.61,-19.7,4/13,0.308,-18.03,-24.8
K1W8_SAR_FS10-11_Gap0.15_Fav0.35_fast_late,8,SAR,10-11,0.15,0.35,fast,late,64,17,-25.57,26.56,588.41,-40.8,-0.19,4/13,0.308,-50.36,-24.3
K1W7_SAR_FS10-12_Gap0.22_Fav0.35_fast_midlate,7,SAR,10-12,0.22,0.35,fast,midlate,89,17,-25.73,19.1,466.56,-13.71,-49.38,4/13,0.308,-56.56,-17.9
K1W7_SAR_FS10-13_Gap0.22_Fav0.35_fast_midlate,7,SAR,10-13,0.22,0.35,fast,midlate,89,17,-25.73,19.1,466.56,-13.71,-49.38,4/13,0.308,-56.56,-17.9
K1W7_BEL_FS10-11_Gap0.05_Fav0.00_fast_late,7,BEL,10-11,0.05,0.0,fast,late,358,68,-26.28,18.99,465.72,-30.32,-8.44,4/13,0.308,-42.86,-18.5
K1W8_SAR_FS10-11_Gap0.20_Fav0.00_fast_midlate,8,SAR,10-11,0.2,0.0,fast,midlate,95,28,-26.48,29.47,523.86,-36.36,-7.02,4/13,0.308,-34.42,-27.6
K1W8_SAR_FS10-11_Gap0.20_Fav0.30_fast_midlate,8,SAR,10-11,0.2,0.3,fast,midlate,95,28,-26.48,29.47,523.86,-36.36,-7.02,4/13,0.308,-34.42,-27.6
K1W7_SAR_FS10-14_Gap0.22_Fav0.35_fast_midlate,7,SAR,10-14,0.22,0.35,fast,midlate,90,17,-26.56,18.89,466.56,-15.15,-49.38,4/13,0.308,-56.56,-18.4
K1W7_BEL_FS10-13_Gap0.10_Fav0.00_fast_late,7,BEL,10-13,0.1,0.0,fast,late,318,57,-26.63,17.92,491.22,-34.04,6.6,4/13,0.308,-49.02,-9.7
K1W8_BEL_FS10-11_Gap0.10_Fav0.00_all_late,8,BEL,10-11,0.1,0.0,all,late,287,71,-26.8,24.74,621.35,-30.66,-5.52,4/13,0.308,-29.84,-22.9
K1W7_BEL_FS10-11_Gap0.10_Fav0.30_all_all,7,BEL,10-11,0.1,0.3,all,all,421,103,-27.22,24.47,356.99,-37.39,24.68,4/13,0.308,-27.72,-17.2
K1W7_BEL_FS10-14_Gap0.10_Fav0.00_fast_late,7,BEL,10-14,0.1,0.0,fast,late,321,57,-27.31,17.76,491.22,-34.79,6.6,4/13,0.308,-49.02,-10.0
K1W7_BEL_FS10-13_Gap0.05_Fav0.00_all_late,7,BEL,10-13,0.05,0.0,all,late,705,115,-27.42,16.31,533.91,-30.59,-14.3,4/13,0.308,-43.05,-23.8
K1W7_BEL_FS10-14_Gap0.05_Fav0.00_all_late,7,BEL,10-14,0.05,0.0,all,late,708,115,-27.73,16.24,533.91,-30.95,-14.3,4/13,0.308,-43.05,-23.9
K1W7_DMR_FS11-14_Gap0.22_Fav0.40_all_midlate,7,DMR,11-14,0.22,0.4,all,midlate,50,9,-27.78,18.0,481.47,-17.32,-46.38,4/13,0.308,-55.12,16.9
K1W7_DMR_FS11-14_Gap0.22_Fav0.40_fast_midlate,7,DMR,11-14,0.22,0.4,fast,midlate,50,9,-27.78,18.0,481.47,-17.32,-46.38,4/13,0.308,-55.12,16.9
K1W8_SAR_FS10-11_Gap0.22_Fav0.35_all_late,8,SAR,10-11,0.22,0.35,all,late,52,13,-27.94,25.0,605.32,-43.59,-2.89,4/13,0.308,-61.79,-32.8
K1W7_BEL_FS11-13_Gap0.05_Fav0.00_all_late,7,BEL,11-13,0.05,0.0,all,late,424,62,-28.08,14.62,590.24,-34.32,-5.24,4/13,0.308,-45.96,-16.9
K1W8_BEL_FS11-12_Gap0.10_Fav0.00_fast_late,8,BEL,11-12,0.1,0.0,fast,late,194,41,-28.09,21.13,714.55,-39.94,17.54,4/13,0.308,-30.64,-12.3
K1W7_BEL_FS11-14_Gap0.05_Fav0.00_all_late,7,BEL,11-14,0.05,0.0,all,late,427,62,-28.58,14.52,590.24,-34.9,-5.24,4/13,0.308,-45.96,-17.2
K1W7_BEL_FS10-12_Gap0.05_Fav0.00_all_late,7,BEL,10-12,0.05,0.0,all,late,696,114,-28.86,16.38,521.19,-32.67,-13.03,4/13,0.308,-43.05,-24.9
K1W7_MTH_FS11-12_Gap0.25_Fav0.00_fast_all,7,MTH,11-12,0.25,0.0,fast,all,85,24,-29.76,28.24,298.52,-21.94,-58.86,4/13,0.308,-38.04,-33.5
K1W7_MTH_FS11-12_Gap0.25_Fav0.30_fast_all,7,MTH,11-12,0.25,0.3,fast,all,85,24,-29.76,28.24,298.52,-21.94,-58.86,4/13,0.308,-38.04,-33.5
K1W7_MTH_FS11-12_Gap0.25_Fav0.35_fast_all,7,MTH,11-12,0.25,0.35,fast,all,85,24,-29.76,28.24,298.52,-21.94,-58.86,4/13,0.308,-38.04,-33.5
K1W8_BEL_FS10-12_Gap0.10_Fav0.30_fast_late,8,BEL,10-12,0.1,0.3,fast,late,224,61,-29.78,27.23,541.47,-36.45,6.21,4/13,0.308,-35.56,-12.8
K1W8_BEL_FS10-11_Gap0.05_Fav0.00_fast_late,8,BEL,10-11,0.05,0.0,fast,late,358,87,-29.86,24.3,606.12,-29.31,-32.3,4/13,0.308,-34.97,-27.3
K1W7_MTH_FS11-12_Gap0.25_Fav0.40_fast_all,7,MTH,11-12,0.25,0.4,fast,all,82,23,-30.18,28.05,298.69,-20.76,-69.06,4/13,0.308,-38.04,-36.9
K1W8_BEL_FS10-12_Gap0.05_Fav0.30_all_late,8,BEL,10-12,0.05,0.3,all,late,326,86,-30.2,26.38,555.63,-36.23,-1.76,4/13,0.308,-40.31,-22.5
K1W7_BEL_FS10-11_Gap0.05_Fav0.00_fast_all,7,BEL,10-11,0.05,0.0,fast,all,635,127,-30.69,20.0,415.83,-33.38,-18.95,4/13,0.308,-38.5,-25.0
K1W7_BEL_FS10-12_Gap0.10_Fav0.00_fast_late,7,BEL,10-12,0.1,0.0,fast,late,313,56,-30.73,17.89,464.57,-39.7,10.41,4/13,0.308,-49.02,-14.8
K1W8_SAR_FS10-14_Gap0.05_Fav0.35_fast_midlate,8,SAR,10-14,0.05,0.35,fast,midlate,123,34,-30.92,27.64,524.8,-34.97,-23.38,4/13,0.308,-46.43,-22.2
K1W8_SAR_FS10-14_Gap0.10_Fav0.35_fast_midlate,8,SAR,10-14,0.1,0.35,fast,midlate,123,34,-30.92,27.64,524.8,-34.97,-23.38,4/13,0.308,-46.43,-22.2
K1W7_SAR_FS10-11_Gap0.22_Fav0.35_all_late,7,SAR,10-11,0.22,0.35,all,late,52,10,-31.02,19.23,430.46,-26.83,-37.71,4/13,0.308,-79.9,-28.1
K1W7_MTH_FS11-12_Gap0.25_Fav0.00_all_all,7,MTH,11-12,0.25,0.0,all,all,89,25,-31.25,28.09,293.7,-22.05,-62.98,4/13,0.308,-38.65,-34.9
K1W7_MTH_FS11-12_Gap0.25_Fav0.30_all_all,7,MTH,11-12,0.25,0.3,all,all,89,25,-31.25,28.09,293.7,-22.05,-62.98,4/13,0.308,-38.65,-34.9
K1W7_MTH_FS11-12_Gap0.25_Fav0.35_all_all,7,MTH,11-12,0.25,0.35,all,all,89,25,-31.25,28.09,293.7,-22.05,-62.98,4/13,0.308,-38.65,-34.9
K1W8_SAR_FS10-14_Gap0.15_Fav0.35_fast_midlate,8,SAR,10-14,0.15,0.35,fast,midlate,119,32,-31.27,26.89,536.76,-34.63,-24.87,4/13,0.308,-41.71,-26.4
K1W7_MTH_FS11-13_Gap0.25_Fav0.00_fast_all,7,MTH,11-13,0.25,0.0,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W7_MTH_FS11-13_Gap0.25_Fav0.30_fast_all,7,MTH,11-13,0.25,0.3,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W7_MTH_FS11-13_Gap0.25_Fav0.35_fast_all,7,MTH,11-13,0.25,0.35,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W7_MTH_FS11-14_Gap0.25_Fav0.00_fast_all,7,MTH,11-14,0.25,0.0,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W7_MTH_FS11-14_Gap0.25_Fav0.30_fast_all,7,MTH,11-14,0.25,0.3,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W7_MTH_FS11-14_Gap0.25_Fav0.35_fast_all,7,MTH,11-14,0.25,0.35,fast,all,87,24,-31.38,27.59,298.52,-21.94,-62.98,4/13,0.308,-38.04,-34.4
K1W8_BEL_FS10-12_Gap0.10_Fav0.30_all_late,8,BEL,10-12,0.1,0.3,all,late,299,77,-31.46,25.75,558.88,-39.91,10.58,4/13,0.308,-44.77,-19.8
K1W7_MTH_FS11-12_Gap0.25_Fav0.40_all_all,7,MTH,11-12,0.25,0.4,all,all,86,24,-31.7,27.91,293.67,-20.91,-72.5,4/13,0.308,-40.85,-38.3
K1W7_MTH_FS11-13_Gap0.25_Fav0.40_fast_all,7,MTH,11-13,0.25,0.4,fast,all,84,23,-31.85,27.38,298.69,-20.76,-72.5,4/13,0.308,-38.04,-37.8
K1W7_MTH_FS11-14_Gap0.25_Fav0.40_fast_all,7,MTH,11-14,0.25,0.4,fast,all,84,23,-31.85,27.38,298.69,-20.76,-72.5,4/13,0.308,-38.04,-37.8
K1W7_BEL_FS10-12_Gap0.05_Fav0.00_fast_late,7,BEL,10-12,0.05,0.0,fast,late,527,88,-32.21,16.7,487.18,-34.01,-25.28,4/13,0.308,-51.81,-24.4
K1W7_SAR_FS10-11_Gap0.22_Fav0.00_all_late,7,SAR,10-11,0.22,0.0,all,late,53,10,-32.32,18.87,430.46,-29.05,-37.71,4/13,0.308,-79.9,-30.1
K1W7_SAR_FS10-11_Gap0.22_Fav0.30_all_late,7,SAR,10-11,0.22,0.3,all,late,53,10,-32.32,18.87,430.46,-29.05,-37.71,4/13,0.308,-79.9,-30.1
K1W8_SAR_FS10-11_Gap0.22_Fav0.00_fast_midlate,8,SAR,10-11,0.22,0.0,fast,midlate,79,20,-32.34,25.32,561.23,-38.73,-19.31,4/13,0.308,-34.42,-34.3
K1W8_SAR_FS10-11_Gap0.22_Fav0.30_fast_midlate,8,SAR,10-11,0.22,0.3,fast,midlate,79,20,-32.34,25.32,561.23,-38.73,-19.31,4/13,0.308,-34.42,-34.3
K1W8_BEL_FS11-13_Gap0.05_Fav0.00_all_late,8,BEL,11-13,0.05,0.0,all,late,424,80,-32.5,18.87,751.27,-35.01,-23.32,4/13,0.308,-34.92,-24.6
K1W8_BEL_FS10-13_Gap0.10_Fav0.00_all_late,8,BEL,10-13,0.1,0.0,all,late,420,91,-32.73,21.67,652.0,-39.61,-1.08,4/13,0.308,-36.97,-23.7
