Strategy,K,Track,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,LOOCV_PosYrs,LOOCV_PosRatio,LOOCV_MedianROI,LOOCV_MeanROI
K1W8_BEL_FS10-14_Gap0.15_Fav0.40_fast_midlate,8,BEL,10-14,0.15,0.4,fast,midlate,123,53,43.34,43.09,698.58,34.59,94.36,10/13,0.769,16.5,70.4
K1W8_BEL_FS10-14_Gap0.05_Fav0.40_fast_midlate,8,BEL,10-14,0.05,0.4,fast,midlate,124,54,42.47,43.55,687.04,33.66,94.36,10/13,0.769,16.5,69.6
K1W8_BEL_FS10-14_Gap0.10_Fav0.40_fast_midlate,8,BEL,10-14,0.1,0.4,fast,midlate,124,54,42.47,43.55,687.04,33.66,94.36,10/13,0.769,16.5,69.6
K1W8_BEL_FS10-13_Gap0.25_Fav0.40_fast_midlate,8,BEL,10-13,0.25,0.4,fast,midlate,106,48,40.09,45.28,649.65,27.74,115.0,10/13,0.769,16.5,71.2
K1W8_BEL_FS10-14_Gap0.25_Fav0.40_fast_midlate,8,BEL,10-14,0.25,0.4,fast,midlate,107,48,38.78,44.86,649.65,26.35,115.0,10/13,0.769,16.5,70.2
K1W8_BEL_FS10-13_Gap0.20_Fav0.00_fast_midlate,8,BEL,10-13,0.2,0.0,fast,midlate,179,70,29.99,39.11,698.06,28.8,35.45,10/13,0.769,38.44,34.5
K1W8_BEL_FS10-13_Gap0.20_Fav0.30_fast_midlate,8,BEL,10-13,0.2,0.3,fast,midlate,179,70,29.99,39.11,698.06,28.8,35.45,10/13,0.769,38.44,34.5
K1W8_BEL_FS10-14_Gap0.20_Fav0.00_fast_midlate,8,BEL,10-14,0.2,0.0,fast,midlate,180,70,29.27,38.89,698.06,27.93,35.45,10/13,0.769,38.44,34.0
K1W8_BEL_FS10-14_Gap0.20_Fav0.30_fast_midlate,8,BEL,10-14,0.2,0.3,fast,midlate,180,70,29.27,38.89,698.06,27.93,35.45,10/13,0.769,38.44,34.0
K1W8_BEL_FS10-13_Gap0.22_Fav0.00_fast_all,8,BEL,10-13,0.22,0.0,fast,all,190,75,26.93,39.47,675.26,27.74,23.08,10/13,0.769,12.99,30.9
K1W8_BEL_FS10-13_Gap0.22_Fav0.30_fast_all,8,BEL,10-13,0.22,0.3,fast,all,190,75,26.93,39.47,675.26,27.74,23.08,10/13,0.769,12.99,30.9
K1W8_BEL_FS10-14_Gap0.22_Fav0.00_fast_all,8,BEL,10-14,0.22,0.0,fast,all,191,75,26.26,39.27,675.26,26.93,23.08,10/13,0.769,10.75,30.6
K1W8_BEL_FS10-14_Gap0.22_Fav0.30_fast_all,8,BEL,10-14,0.22,0.3,fast,all,191,75,26.26,39.27,675.26,26.93,23.08,10/13,0.769,10.75,30.6
K1W8_BEL_FS10-12_Gap0.22_Fav0.00_fast_all,8,BEL,10-12,0.22,0.0,fast,all,186,74,24.58,39.78,657.58,24.09,26.92,10/13,0.769,19.19,27.9
K1W8_BEL_FS10-12_Gap0.22_Fav0.30_fast_all,8,BEL,10-12,0.22,0.3,fast,all,186,74,24.58,39.78,657.58,24.09,26.92,10/13,0.769,19.19,27.9
K1W8_BEL_FS10-13_Gap0.20_Fav0.00_all_midlate,8,BEL,10-13,0.2,0.0,all,midlate,229,84,16.61,36.68,667.6,16.17,18.77,10/13,0.769,16.58,19.7
K1W8_BEL_FS10-13_Gap0.20_Fav0.30_all_midlate,8,BEL,10-13,0.2,0.3,all,midlate,229,84,16.61,36.68,667.6,16.17,18.77,10/13,0.769,16.58,19.7
K1W8_BEL_FS10-14_Gap0.20_Fav0.00_all_midlate,8,BEL,10-14,0.2,0.0,all,midlate,231,84,15.6,36.36,667.6,14.96,18.77,10/13,0.769,16.58,19.0
