Strategy,FS,Gap,FavMin,Cond,Card,Races,Hits,ROI%,HitRate%,AvgPay,TrainROI%,TestROI%,TrainRaces,TestRaces,PosYears
K1W7_BEL_FS11-12_Gap0.22_Fav0.37_fast_all,11-12,0.22,0.37,fast,all,93,31,114.8,33.33,773.28,99.5,201.13,79,14,9/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.35_fast_midlate,11-14,0.2,0.35,fast,midlate,97,30,114.74,30.93,833.18,97.68,207.96,82,15,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.35_fast_all,11-13,0.22,0.35,fast,all,101,32,114.15,31.68,811.1,107.3,147.99,84,17,9/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.35_fast_midlate,11-13,0.18,0.35,fast,midlate,108,34,113.69,31.48,814.55,98.83,193.25,91,17,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.40_fast_all,11-13,0.22,0.4,fast,all,78,26,113.38,33.33,768.16,88.3,251.32,66,12,8/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.00_fast_midlate,11-12,0.22,0.0,fast,midlate,86,25,112.97,29.07,879.15,91.93,242.71,74,12,9/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.30_fast_midlate,11-12,0.22,0.3,fast,midlate,86,25,112.97,29.07,879.15,91.93,242.71,74,12,9/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.33_fast_midlate,11-12,0.22,0.33,fast,midlate,86,25,112.97,29.07,879.15,91.93,242.71,74,12,9/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.40_fast_all,11-13,0.2,0.4,fast,all,79,27,112.34,34.18,745.56,88.3,234.42,66,13,8/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.35_fast_all,11-14,0.22,0.35,fast,all,102,32,112.05,31.37,811.1,104.86,147.99,85,17,9/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.37_fast_midlate,11-13,0.18,0.37,fast,midlate,91,29,111.79,31.87,797.51,89.05,236.86,77,14,10/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.35_fast_midlate,11-14,0.18,0.35,fast,midlate,109,34,111.73,31.19,814.55,96.67,193.25,92,17,9/13
K1W7_BEL_FS11-14_Gap0.22_Fav0.40_fast_all,11-14,0.22,0.4,fast,all,79,26,110.68,32.91,768.16,85.49,251.32,67,12,8/13
K1W7_BEL_FS11-13_Gap0.15_Fav0.40_fast_all,11-13,0.15,0.4,fast,all,80,27,109.69,33.75,745.56,85.49,234.42,67,13,8/13
K1W7_BEL_FS11-13_Gap0.18_Fav0.40_fast_all,11-13,0.18,0.4,fast,all,80,27,109.69,33.75,745.56,85.49,234.42,67,13,8/13
K1W7_BEL_FS11-14_Gap0.20_Fav0.40_fast_all,11-14,0.2,0.4,fast,all,80,27,109.69,33.75,745.56,85.49,234.42,67,13,8/13
K1W7_BEL_FS11-12_Gap0.22_Fav0.40_all_midlate,11-12,0.22,0.4,all,midlate,76,25,109.54,32.89,764.4,73.11,419.19,68,8,9/13
K1W7_BEL_FS11-12_Gap0.15_Fav0.37_fast_midlate,11-12,0.15,0.37,fast,midlate,92,29,109.49,31.52,797.51,84.27,262.77,79,13,9/13
K1W7_BEL_FS11-14_Gap0.18_Fav0.37_fast_midlate,11-14,0.18,0.37,fast,midlate,92,29,109.49,31.52,797.51,86.63,236.86,78,14,10/13
K1W7_BEL_FS11-13_Gap0.20_Fav0.33_fast_midlate,11-13,0.2,0.33,fast,midlate,104,32,109.04,30.77,815.26,88.49,207.23,86,18,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.40_all_midlate,11-12,0.2,0.4,all,midlate,77,26,108.53,33.77,741.08,73.11,376.13,68,9,9/13
K1W7_BEL_FS11-12_Gap0.20_Fav0.35_fast_midlate,11-12,0.2,0.35,fast,midlate,92,29,108.44,31.52,793.51,86.63,229.95,78,14,9/13
K1W7_BEL_FS11-13_Gap0.22_Fav0.37_fast_all,11-13,0.22,0.37,fast,all,96,31,108.09,32.29,773.28,94.57,181.06,81,15,9/13
K1W7_BEL_FS11-13_Gap0.05_Fav0.40_fast_all,11-13,0.05,0.4,fast,all,81,28,107.88,34.57,721.63,83.68,234.42,68,13,8/13
K1W7_BEL_FS11-13_Gap0.08_Fav0.40_fast_all,11-13,0.08,0.4,fast,all,81,28,107.88,34.57,721.63,83.68,234.42,68,13,8/13
K1W7_BEL_FS11-13_Gap0.10_Fav0.40_fast_all,11-13,0.1,0.4,fast,all,81,28,107.88,34.57,721.63,83.68,234.42,68,13,8/13
