variant,test_year,rule_id,score,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
sqrt_cost|relaxed_n150,2023,CD_REFINED_K9,2.4868,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_cost|relaxed_n150,2024,CD_CORE_K8,0.9237,True,False,7.01,425,0.46,45.65,3930.4
sqrt_cost|relaxed_n150,2024,CD_REFINED_K9,2.3663,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_cost|relaxed_n150,2025,CD_CORE_K8,1.2195,True,False,10.41,466,0.5,78.21,3120.61
sqrt_cost|relaxed_n150,2025,CD_REFINED_K9,2.3407,True,False,60.24,147,0.57,-61.12,-821.45
log_cost|strict,2015,CD_CORE_K8,0.7486,True,True,15.6,141,0.6,-60.65,-3821.1
log_cost|strict,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
log_cost|strict,2016,CD_CORE_K8,0.3315,True,False,2.22,171,0.5,-8.87,-503.1
log_cost|strict,2016,CD_REFINED_K9,0.1388,True,False,1.92,65,0.67,179.28,5421.3
log_cost|strict,2017,CD_CORE_K8,0.1521,False,False,0.71,198,0.43,59.3,5603.7
log_cost|strict,2017,CD_REFINED_K9,0.5893,True,True,23.49,74,0.71,-88.28,-4449.1
log_cost|strict,2018,CD_CORE_K8,0.9564,True,True,11.56,243,0.5,-37.62,-2686.4
log_cost|strict,2018,CD_REFINED_K9,0.3838,True,False,4.65,89,0.62,869.41,29212.3
log_cost|strict,2019,CD_CORE_K8,0.6298,False,False,5.52,277,0.44,-13.09,-1429.0
log_cost|strict,2019,CD_REFINED_K9,0.8603,True,False,92.0,99,0.67,11.64,352.1
log_cost|strict,2020,CD_CORE_K8,0.3856,False,False,2.58,329,0.4,-16.34,-1166.6
log_cost|strict,2020,CD_REFINED_K9,1.0355,True,False,85.3,108,0.7,-73.78,-3222.8
log_cost|strict,2022,CD_CORE_K8,0.1631,False,False,0.81,363,0.36,32.23,2233.8
log_cost|strict,2022,CD_REFINED_K9,1.0233,True,False,68.21,121,0.64,80.95,2719.9
log_cost|strict,2023,CD_CORE_K8,0.4688,False,False,3.43,396,0.42,55.92,3405.58
log_cost|strict,2023,CD_REFINED_K9,1.271,True,False,69.19,131,0.67,-8.53,-114.6
log_cost|strict,2024,CD_CORE_K8,0.7259,False,False,7.01,425,0.46,45.65,3930.4
log_cost|strict,2024,CD_REFINED_K9,1.2204,True,True,66.88,135,0.62,-14.54,-586.1
log_cost|strict,2025,CD_CORE_K8,0.9202,True,False,10.41,466,0.5,78.21,3120.61
log_cost|strict,2025,CD_REFINED_K9,1.241,True,False,60.24,147,0.57,-61.12,-821.45
log_cost|relaxed_n150,2015,CD_CORE_K8,0.7486,True,True,15.6,141,0.6,-60.65,-3821.1
log_cost|relaxed_n150,2015,CD_REFINED_K9,0.0,False,False,-10.5,57,0.6,90.41,2430.3
log_cost|relaxed_n150,2016,CD_CORE_K8,0.3315,True,False,2.22,171,0.5,-8.87,-503.1
log_cost|relaxed_n150,2016,CD_REFINED_K9,0.1388,True,False,1.92,65,0.67,179.28,5421.3
log_cost|relaxed_n150,2017,CD_CORE_K8,0.1521,True,False,0.71,198,0.43,59.3,5603.7
log_cost|relaxed_n150,2017,CD_REFINED_K9,0.5893,True,True,23.49,74,0.71,-88.28,-4449.1
log_cost|relaxed_n150,2018,CD_CORE_K8,0.9564,True,True,11.56,243,0.5,-37.62,-2686.4
log_cost|relaxed_n150,2018,CD_REFINED_K9,0.3838,True,False,4.65,89,0.62,869.41,29212.3
log_cost|relaxed_n150,2019,CD_CORE_K8,0.6298,True,False,5.52,277,0.44,-13.09,-1429.0
log_cost|relaxed_n150,2019,CD_REFINED_K9,0.8603,True,False,92.0,99,0.67,11.64,352.1
log_cost|relaxed_n150,2020,CD_CORE_K8,0.3856,True,False,2.58,329,0.4,-16.34,-1166.6
log_cost|relaxed_n150,2020,CD_REFINED_K9,1.0355,True,False,85.3,108,0.7,-73.78,-3222.8
log_cost|relaxed_n150,2022,CD_CORE_K8,0.1631,True,False,0.81,363,0.36,32.23,2233.8
log_cost|relaxed_n150,2022,CD_REFINED_K9,1.0233,True,False,68.21,121,0.64,80.95,2719.9
log_cost|relaxed_n150,2023,CD_CORE_K8,0.4688,True,False,3.43,396,0.42,55.92,3405.58
log_cost|relaxed_n150,2023,CD_REFINED_K9,1.271,True,False,69.19,131,0.67,-8.53,-114.6
log_cost|relaxed_n150,2024,CD_CORE_K8,0.7259,True,False,7.01,425,0.46,45.65,3930.4
log_cost|relaxed_n150,2024,CD_REFINED_K9,1.2204,True,True,66.88,135,0.62,-14.54,-586.1
log_cost|relaxed_n150,2025,CD_CORE_K8,0.9202,True,False,10.41,466,0.5,78.21,3120.61
log_cost|relaxed_n150,2025,CD_REFINED_K9,1.241,True,False,60.24,147,0.57,-61.12,-821.45
