variant,test_year,rule_id,score,races_factor,qualifies,selected,train_roi,train_races,pos_year_ratio,test_roi,test_profit
sqrt_r400,2015,CD_CORE_K8,0.5221,0.3525,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_r400,2015,CD_REFINED_K9,0.0,0.1425,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_r400,2016,CD_CORE_K8,0.2389,0.4275,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_r400,2016,CD_REFINED_K9,0.1126,0.1625,True,False,1.92,65,0.67,179.28,5421.3
sqrt_r400,2017,CD_CORE_K8,0.1564,0.495,False,False,0.71,198,0.43,59.3,5603.7
sqrt_r400,2017,CD_REFINED_K9,0.5604,0.185,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_r400,2018,CD_CORE_K8,1.0328,0.6075,True,True,11.56,243,0.5,-37.62,-2686.4
sqrt_r400,2018,CD_REFINED_K9,0.2999,0.2225,True,False,4.65,89,0.62,869.41,29212.3
sqrt_r400,2019,CD_CORE_K8,0.723,0.6925,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_r400,2019,CD_REFINED_K9,1.1423,0.2475,True,True,92.0,99,0.67,11.64,352.1
sqrt_r400,2020,CD_CORE_K8,0.5285,0.8225,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_r400,2020,CD_REFINED_K9,1.3462,0.27,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_r400,2022,CD_CORE_K8,0.297,0.9075,False,False,0.81,363,0.36,32.23,2233.8
sqrt_r400,2022,CD_REFINED_K9,1.2516,0.3025,True,True,68.21,121,0.64,80.95,2719.9
sqrt_r400,2023,CD_CORE_K8,0.764,0.99,False,False,3.43,396,0.42,55.92,3405.58
sqrt_r400,2023,CD_REFINED_K9,1.5605,0.3275,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_r400,2024,CD_CORE_K8,1.2219,1.0,False,False,7.01,425,0.46,45.65,3930.4
sqrt_r400,2024,CD_REFINED_K9,1.4848,0.3375,True,True,66.88,135,0.62,-14.54,-586.1
sqrt_r400,2025,CD_CORE_K8,1.6132,1.0,True,True,10.41,466,0.5,78.21,3120.61
sqrt_r400,2025,CD_REFINED_K9,1.4688,0.3675,True,False,60.24,147,0.57,-61.12,-821.45
sqrt_softbonus,2015,CD_CORE_K8,1.3923,0.94,True,True,15.6,141,0.6,-60.65,-3821.1
sqrt_softbonus,2015,CD_REFINED_K9,0.0,0.38,False,False,-10.5,57,0.6,90.41,2430.3
sqrt_softbonus,2016,CD_CORE_K8,0.5705,1.021,True,False,2.22,171,0.5,-8.87,-503.1
sqrt_softbonus,2016,CD_REFINED_K9,0.3002,0.4333,True,False,1.92,65,0.67,179.28,5421.3
sqrt_softbonus,2017,CD_CORE_K8,0.3312,1.048,False,False,0.71,198,0.43,59.3,5603.7
sqrt_softbonus,2017,CD_REFINED_K9,1.4944,0.4933,True,False,23.49,74,0.71,-88.28,-4449.1
sqrt_softbonus,2018,CD_CORE_K8,1.8581,1.093,True,False,11.56,243,0.5,-37.62,-2686.4
sqrt_softbonus,2018,CD_REFINED_K9,0.7997,0.5933,True,False,4.65,89,0.62,869.41,29212.3
sqrt_softbonus,2019,CD_CORE_K8,1.1767,1.127,False,False,5.52,277,0.44,-13.09,-1429.0
sqrt_softbonus,2019,CD_REFINED_K9,3.0462,0.66,True,True,92.0,99,0.67,11.64,352.1
sqrt_softbonus,2020,CD_CORE_K8,0.7575,1.179,False,False,2.58,329,0.4,-16.34,-1166.6
sqrt_softbonus,2020,CD_REFINED_K9,3.5899,0.72,True,True,85.3,108,0.7,-73.78,-3222.8
sqrt_softbonus,2022,CD_CORE_K8,0.3969,1.213,False,False,0.81,363,0.36,32.23,2233.8
sqrt_softbonus,2022,CD_REFINED_K9,3.3375,0.8067,True,True,68.21,121,0.64,80.95,2719.9
sqrt_softbonus,2023,CD_CORE_K8,0.9616,1.246,False,False,3.43,396,0.42,55.92,3405.58
sqrt_softbonus,2023,CD_REFINED_K9,4.1612,0.8733,True,True,69.19,131,0.67,-8.53,-114.6
sqrt_softbonus,2024,CD_CORE_K8,1.5274,1.25,False,False,7.01,425,0.46,45.65,3930.4
