Strategy,Races,Wagered,Profit,ROI%,Hits,HitRate%,AvgPay,CostPerRace
K1W8_FavStr+Dirt,10563,2218230,-423665.0,-19.1,4241,40.15,423.0,210.0
K1W8_FS10-12+MidLate+BigPool,16878,3544380,-677547.0,-19.12,3487,20.66,822.0,210.0
K1W8_FS10-11+MidLate+BigPool,11921,2503410,-479838.0,-19.17,2663,22.34,760.0,210.0
K1W8_KEE+Route,1515,318150,-61400.0,-19.3,341,22.51,753.0,210.0
K1W8_FavStr+Gap15,13742,2885820,-558559.0,-19.36,5431,39.52,429.0,210.0
K1W8_Sprint+Wet,4266,895860,-173519.0,-19.37,1155,27.07,625.0,210.0
K1W8_CD+Turf,1324,278040,-54078.0,-19.45,295,22.28,759.0,210.0
K1W8_FS10-12+Route,12762,2680020,-523855.0,-19.55,2641,20.69,816.0,210.0
K1W8_FavVStr+MidLate+Dirt,2203,462630,-90762.0,-19.62,1076,48.84,346.0,210.0
K1W8_FavVStr+Sprint+CD,233,48930,-9606.0,-19.63,116,49.79,339.0,210.0
K1W8_AQU_FS10-12,1730,363300,-71388.0,-19.65,386,22.31,756.0,210.0
K1W8_FS10-12+Sprint+Wet,1766,370860,-72983.0,-19.68,353,19.99,844.0,210.0
K1W8_Gap15+Fast,14261,2994810,-592406.0,-19.78,5301,37.17,453.0,210.0
K1W8_KEE_FS12-20,805,169050,-33673.0,-19.92,129,16.02,1049.0,210.0
K1W8_Sprint+MidLate+Gap15,5838,1225980,-244305.0,-19.93,2103,36.02,467.0,210.0
K1W8_Sprint+Dirt+Gap15,7183,1508430,-301028.0,-19.96,2703,37.63,447.0,210.0
K1W8_FS10-11+MidLate+Wet,2000,420000,-84111.0,-20.03,404,20.2,831.0,210.0
K1W8_FavStr+BigPool,12225,2567250,-514164.0,-20.03,4772,39.03,430.0,210.0
K1W8_SA_FS10-11,2037,427770,-86044.0,-20.11,464,22.78,736.0,210.0
K1W_DynK_FavProb_FS10-12,24991,5831838,-1173829.0,-20.13,4948,19.8,941.0,233.0
K1W8_LateCard+FavStr,6869,1442490,-291655.0,-20.22,2572,37.44,447.0,210.0
K1W8_Q4,13039,2738190,-556846.0,-20.34,3405,26.11,641.0,210.0
K1W8_Sprint+BigPool+Gap15,6844,1437240,-292744.0,-20.37,2515,36.75,455.0,210.0
K1W8_FS10-12+Dirt+Wet,1935,406350,-83245.0,-20.49,398,20.57,812.0,210.0
K1W8_FS10-11+Turf,8005,1681050,-345092.0,-20.53,1735,21.67,770.0,210.0
K1W8_MidLate+BigPool+Wet,4781,1004010,-206325.0,-20.55,1225,25.62,651.0,210.0
K1W8_Q2,14284,2999640,-617077.0,-20.57,3901,27.31,611.0,210.0
K1W8_Turf+Wet,3162,664020,-136705.0,-20.59,756,23.91,698.0,210.0
K1W8_FavVStr+Route,2098,440580,-91245.0,-20.71,1035,49.33,338.0,210.0
K1W8_Dirt+Wet,5327,1118670,-232075.0,-20.75,1497,28.1,592.0,210.0
K1W8_Gap15+Turf,5946,1248660,-259726.0,-20.8,2075,34.9,477.0,210.0
K1W8_FavStr+Fast,13653,2867130,-599295.0,-20.9,5378,39.39,422.0,210.0
K1W8_FavVStr+MidLate+Gap15,3147,660870,-138336.0,-20.93,1515,48.14,345.0,210.0
K1W_DynK_FavProb_FS10-11,17867,4089636,-856867.0,-20.95,3782,21.17,855.0,229.0
K1W8_FavVStr+MidLate,3153,662130,-139430.0,-21.06,1518,48.14,344.0,210.0
K1W8_FS10-12+MidLate+Wet,2738,574980,-121088.0,-21.06,526,19.21,863.0,210.0
K1W8_FavPP_Outside_9-20,7921,1663410,-350568.0,-21.08,1641,20.72,800.0,210.0
K1W8_Gap15+Sprint,8900,1869000,-394710.0,-21.12,3283,36.89,449.0,210.0
K1W_DynK_Entropy,90005,12049710,-2560938.0,-21.25,25205,28.0,376.0,134.0
K1W8_FavVStr+BigPool+Dirt,2674,561540,-119441.0,-21.27,1315,49.18,336.0,210.0
K1W8_BigPool+Dirt+Wet,3465,727650,-154839.0,-21.28,985,28.43,582.0,210.0
K1W8_Wet+BigPool,6122,1285620,-273603.0,-21.28,1609,26.28,629.0,210.0
K1W8_Sprint+Gap15+CD,845,177450,-37845.0,-21.33,289,34.2,483.0,210.0
K1W8_MidLate+CD+Wet,690,144900,-30970.0,-21.37,144,20.87,791.0,210.0
K1W8_CardMid_5-8,26301,5523210,-1181066.0,-21.38,7063,26.85,615.0,210.0
K1W8_FavPP_Middle_5-8,23447,4923870,-1054066.0,-21.41,6563,27.99,590.0,210.0
K1W8_FavVStr+Sprint+MidLate,1709,358890,-77010.0,-21.46,804,47.05,351.0,210.0
K1W8_FavVStr+Sprint+Dirt,2375,498750,-107131.0,-21.48,1148,48.34,341.0,210.0
K1W8_Dirt+MidLate,23017,4833570,-1040568.0,-21.53,6283,27.3,604.0,210.0
K1W8_FavVStr+Dirt,3514,737940,-158945.0,-21.54,1723,49.03,336.0,210.0
K1W8_FavVStr+Dirt+Gap15,3506,736260,-158839.0,-21.57,1718,49.0,336.0,210.0
K1W8_KEE+FavVStr,233,48930,-10573.0,-21.61,104,44.64,369.0,210.0
K1W8_KEE+FavVStr+Gap15,233,48930,-10573.0,-21.61,104,44.64,369.0,210.0
K1W8_FS10-12+Turf,11659,2448390,-533216.0,-21.78,2319,19.89,826.0,210.0
K1W8_Route+MidLate,20327,4268670,-929735.0,-21.78,5237,25.76,638.0,210.0
K1W8_MTH_FS12-20,286,60060,-13083.0,-21.78,58,20.28,810.0,210.0
K1W8_Sprint+Dirt+Wet,3406,715260,-155829.0,-21.79,930,27.3,602.0,210.0
K1W8_Sprint+MidLate+BigPool,16113,3383730,-738990.0,-21.84,4263,26.46,620.0,210.0
K1W8_FavStr+Turf,5292,1111320,-242876.0,-21.85,1982,37.45,438.0,210.0
K1W8_FavStr+Sprint,8722,1831620,-401138.0,-21.9,3400,38.98,421.0,210.0
K1W8_Route+Dirt,11635,2443350,-535134.0,-21.9,3317,28.51,575.0,210.0
K1W8_sprint_FavStr,8722,1831620,-401138.0,-21.9,3400,38.98,421.0,210.0
K1W8_route_mid,24285,5099850,-1118074.0,-21.92,6493,26.74,613.0,210.0
K1W8_Dirt+CD+Wet,616,129360,-28375.0,-21.94,147,23.86,687.0,210.0
K1W8_Sprint+BigPool,21863,4591230,-1009437.0,-21.99,5933,27.14,604.0,210.0
K1W8_Route+Fast,23398,4913580,-1082104.0,-22.02,6262,26.76,612.0,210.0
K1W8_Route+Wet,4223,886830,-195261.0,-22.02,1098,26.0,630.0,210.0
K1W8_Sprint+BigPool+Dirt,16375,3438750,-759020.0,-22.07,4575,27.94,586.0,210.0
K1W8_FavVStr+BigPool,3798,797580,-176062.0,-22.07,1817,47.84,342.0,210.0
K1W8_Dirt+BigPool,24421,5128410,-1132679.0,-22.09,6887,28.2,580.0,210.0
K1W8_Sprint+MidLate,19617,4119570,-910817.0,-22.11,5204,26.53,617.0,210.0
K1W8_FavVStr+BigPool+Gap15,3791,796110,-176063.0,-22.12,1813,47.82,342.0,210.0
K1W8_FavVStr+BigPool+Wet,463,97230,-21511.0,-22.12,218,47.08,347.0,210.0
K1W8_Sprint+MidLate+Dirt,14995,3148950,-697048.0,-22.14,4060,27.08,604.0,210.0
K1W8_Route+Turf,16046,3369660,-749485.0,-22.24,4052,25.25,647.0,210.0
K1W8_FavStr+FavVStr,4889,1026690,-228900.0,-22.29,2353,48.13,339.0,210.0
K1W8_FS10-11+Wet,2641,554610,-123608.0,-22.29,548,20.75,786.0,210.0
K1W8_FS10-12+FS10-11+Wet,2641,554610,-123608.0,-22.29,548,20.75,786.0,210.0
K1W8_FavVStr+Gap15,4879,1024590,-228439.0,-22.3,2347,48.1,339.0,210.0
K1W8_MidLate+BigPool+Dirt,18036,3787560,-845406.0,-22.32,4933,27.35,596.0,210.0
K1W8_Fast+MidLate,33894,7117740,-1597288.0,-22.44,8869,26.17,622.0,210.0
K1W8_Sprint+Dirt,22652,4756920,-1069631.0,-22.49,6293,27.78,586.0,210.0
K1W8_Turf+MidLate,16927,3554670,-799984.0,-22.51,4158,24.56,662.0,210.0
K1W8_FavVStr+MidLate+BigPool,2668,560280,-126174.0,-22.52,1262,47.3,344.0,210.0
K1W8_sprint,29020,6094200,-1373980.0,-22.55,7914,27.27,596.0,210.0
K1W8_Dirt+Fast,28958,6081180,-1372915.0,-22.58,8112,28.01,580.0,210.0
K1W8_MidLate+BigPool,33282,6989220,-1578550.0,-22.59,8619,25.9,628.0,210.0
K1W8_Turf+Fast,19184,4028640,-910279.0,-22.6,4906,25.57,636.0,210.0
K1W8_Sprint+Turf,6368,1337280,-304348.0,-22.76,1621,25.46,637.0,210.0
K1W8_FavVStr+Fast,4256,893760,-203446.0,-22.76,2045,48.05,338.0,210.0
K1W8_Fast+BigPool,37409,7855890,-1791456.0,-22.8,9992,26.71,607.0,210.0
K1W8_CD_FS8-9,2859,600390,-137186.0,-22.85,882,30.85,525.0,210.0
K1W8_FS10-12+Wet,3654,767340,-176417.0,-22.99,713,19.51,829.0,210.0
K1W8_FavVStr+Sprint+BigPool,2148,451080,-103697.0,-22.99,1008,46.93,345.0,210.0
K1W8_CardLate_9-14,13643,2865030,-659487.0,-23.02,3378,24.76,653.0,210.0
K1W8_Sprint+Fast,24744,5196240,-1201090.0,-23.11,6756,27.3,591.0,210.0
K1W8_CardEarly_1-4,16757,3518970,-818046.0,-23.25,4842,28.9,558.0,210.0
K1W8_Route+BigPool,21733,4563930,-1061197.0,-23.25,5680,26.14,617.0,210.0
K1W8_Turf+BigPool,19175,4026750,-937955.0,-23.29,4726,24.65,654.0,210.0
K1W8_route_long,3396,713160,-166545.0,-23.35,876,25.8,624.0,210.0
K1W8_FS10-11+BigPool+Wet,2046,429660,-100636.0,-23.42,428,20.92,769.0,210.0
K1W8_FavVStr+Sprint,2791,586110,-137655.0,-23.49,1318,47.22,340.0,210.0
K1W8_SAR_FS8-9,1831,384510,-90463.0,-23.53,540,29.49,545.0,210.0
K1W8_Q3,14707,3088470,-727219.0,-23.55,4008,27.25,589.0,210.0
K1W8_FavPP_Inside_1-4,25333,5319930,-1253965.0,-23.57,7079,27.94,574.0,210.0
K1W8_FavVStr+Sprint+Gap15,2786,585060,-138117.0,-23.61,1315,47.2,340.0,210.0
Henery_a1.20_Top120,90004,10800384,-2575346.0,-23.84,37901,42.11,217.0,120.0
